author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/296140179/;Москва;sale;flat;3;3;5;657.5;2266585;1490280000;2024;Новостройка;Монолитно-кирпичный, монолитный;-1;Без отделки;265.0;17.0;+74951347302;Тверской;Богоявленский переулок;6С1;Площадь Революции;Коллекция клубных особняков Ильинка 3/8
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/292988641/;Москва;sale;flat;14;15;5;271.0;1300239;352365000;-1;Вторичка;Монолитно-кирпичный;-1;-1;-1;20.0;+79057173890;Хамовники; Усачева;15кБ;Спортивная;Садовые кварталы
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713853/;Москва;sale;flat;5;8;5;250.5;2653652;664740000;2024;Новостройка;Монолитный;-1;Без отделки;153.0;14.0;+74951375467;Якиманка;;;Третьяковская;Лаврушинский ЖК
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/296528482/;Москва;sale;flat;36;39;5;165.0;878787;145000000;2017;Вторичка;Монолитный;Индивидуальный тепловой пункт;-1;-1;34.0;+79104832214;Раменки;Минская ;2;Минская;Долина Сетунь
ФСК;developer;https://www.cian.ru/sale/flat/294589026/;Москва;sale;flat;14;16;-1;202.0;290505;58682160;2025;Новостройка;Монолитно-кирпичный;-1;Без отделки, предчистовая;55.0;-1;+74951374901;Свиблово;Снежная ;вл22к3;Свиблово;The Lake
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295917991/;Москва;sale;flat;36;39;5;165.0;878787;145000000;2017;Вторичка;Монолитный;Индивидуальный тепловой пункт;-1;-1;-1;+79652856229;Раменки;Минская ;2;Минская;Долина Сетунь
VESPER;developer;https://www.cian.ru/sale/flat/296835973/;Москва;sale;flat;21;21;-1;3.5;141856000;496496000;2023;Новостройка Пентхаус;Монолитный;-1;Предчистовая, чистовая, чистовая с мебелью;-1;11.0;+74951387366;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295331257/;Москва;sale;flat;16;57;5;219.0;593561;129990000;2006;Вторичка;Монолитно-кирпичный;Индивидуальный тепловой пункт;-1;120.0;20.0;+79856327486;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/296432574/;Москва;sale;flat;1;6;5;496.7;1832856;910380000;2026;Новостройка;Монолитно-кирпичный;-1;-;120.0;71.0;+74951375469;Хамовники;3-й Обыденский переулок;1С1;;Клубный дом Обыденский № 1
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/285910230/;Москва;sale;flat;6;12;5;228.0;1600000;364800000;2021;Вторичка;Монолитный;Индивидуальный тепловой пункт;-1;-1;-1;+79152007823;Хамовники; Усачева;13;Спортивная;Садовые кварталы
Сбербанк Капитал;developer;https://www.cian.ru/sale/flat/288177373/;Москва;sale;flat;4;7;5;312.2;1341965;418961743;2022;Новостройка Апартаменты;-1;-1;Без отделки;-1;-1;+74951375240;Якиманка;Софийская набережная;36;Новокузнецкая;Резиденция 1864
Дмитрий Земляков;realtor;https://www.cian.ru/sale/flat/296156522/;Москва;sale;flat;7;10;5;201.0;1238805;249000000;2024;Новостройка;Монолитный;-1;Чистовая;-1;-1;+79623692246;Дорогомилово;;3к6;Парк Победы;Виктори Парк Резиденсез ЖК
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293788748/;Москва;sale;flat;12;21;5;188.2;770138;144940000;2026;Новостройка;Монолитный;-1;Без отделки;99.0;22.0;+74951375398;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/293376222/;Москва;sale;flat;5;20;5;172.0;755813;130000000;2021;Вторичка;Монолитный;Центральное;-1;127.0;20.0;+79671226471;Пресненский;Мантулинская ;9к6;Выставочная;City Park
MR Group;developer;https://www.cian.ru/sale/flat/292946522/;Москва;sale;flat;4;37;5;153.1;634923;97206759;2027;Новостройка;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/286115311/;Москва;sale;flat;2;27;5;227.0;330396;75000000;2009;Вторичка;Монолитный;Индивидуальный тепловой пункт;-1;177.0;25.0;+79639225805;Щукино; Маршала Конева;14;Октябрьское поле;Маршала Бирюзова, 31-33
